date,kunlun_2280_sales,server_2288hv7_sales,server_2288hv7_uses_pac900s12_b2_1,pac900s12_b2_1_consumption,pac900s12_b2_1_inventory,pac900s12_b2_1_procurement,is_decline_period
2024-06-01,107,78,0,107,125,132,False
2024-06-02,122,77,0,122,89,86,False
2024-06-03,123,89,0,123,76,110,False
2024-06-04,108,74,0,108,78,110,False
2024-06-05,103,57,0,103,60,85,False
2024-06-06,91,67,0,91,95,126,False
2024-06-07,86,63,0,86,158,149,False
2024-06-08,96,80,0,96,130,68,False
2024-06-09,91,81,0,91,111,72,False
2024-06-10,105,72,0,105,120,114,False
2024-06-11,90,102,0,90,119,89,False
2024-06-12,84,89,0,84,130,95,False
2024-06-13,103,56,0,103,97,70,False
2024-06-14,102,88,0,102,118,123,False
2024-06-15,98,76,0,98,110,90,False
2024-06-16,89,74,0,89,162,141,False
2024-06-17,105,58,0,105,151,94,False
2024-06-18,94,71,0,94,156,99,False
2024-06-19,115,91,0,115,118,77,False
2024-06-20,95,83,0,95,162,139,False
2024-06-21,92,77,0,92,143,73,False
2024-06-22,82,89,0,82,171,110,False
2024-06-23,98,92,0,98,168,95,False
2024-06-24,90,84,0,90,191,113,False
2024-06-25,99,98,0,99,112,20,False
2024-06-26,112,81,0,112,114,114,False
2024-06-27,101,56,0,101,128,115,False
2024-06-28,105,97,0,105,105,82,False
2024-06-29,87,73,0,87,156,138,False
2024-06-30,104,73,0,104,149,97,False
2024-07-01,101,91,0,101,127,79,False
2024-07-02,95,75,0,95,100,68,False
2024-07-03,104,83,0,104,116,120,False
2024-07-04,96,63,0,96,131,111,False
2024-07-05,94,70,0,94,124,87,False
2024-07-06,106,102,0,106,110,92,False
2024-07-07,103,79,0,103,88,81,False
2024-07-08,99,80,0,99,158,169,False
2024-07-09,97,83,0,97,150,89,False
2024-07-10,82,93,0,82,169,101,False
2024-07-11,111,69,0,111,169,111,False
2024-07-12,78,87,0,78,213,122,False
2024-07-13,85,73,0,85,189,61,False
2024-07-14,92,61,0,92,158,61,False
2024-07-15,84,85,0,84,150,76,False
2024-07-16,123,70,0,123,112,85,False
2024-07-17,112,65,0,112,124,124,False
2024-07-18,119,60,0,119,97,92,False
2024-07-19,103,89,0,103,89,95,False
2024-07-20,80,86,0,80,134,125,False
2024-07-21,103,84,0,103,110,79,False
2024-07-22,103,83,0,103,112,105,False
2024-07-23,127,85,0,127,81,96,False
2024-07-24,109,68,0,109,107,135,False
2024-07-25,117,70,0,117,129,139,False
2024-07-26,106,89,0,106,141,118,False
2024-07-27,96,70,0,96,121,76,False
2024-07-28,87,79,0,87,129,95,False
2024-07-29,104,89,0,104,115,90,False
2024-07-30,121,76,0,121,168,174,False
2024-07-31,109,69,0,109,132,73,False
2024-08-01,107,77,0,107,125,100,False
2024-08-02,107,79,0,107,95,77,False
2024-08-03,77,74,0,77,155,137,False
2024-08-04,103,65,0,103,144,92,False
2024-08-05,105,69,0,105,131,92,False
2024-08-06,100,66,0,100,126,95,False
