date,kunlun_2280_sales,server_2288hv7_sales,server_2288hv7_uses_pac900s12_b2_1,pac900s12_b2_1_consumption,pac900s12_b2_1_inventory,pac900s12_b2_1_procurement,is_decline_period
2024-06-01,96,61,1,157,58,115,False
2024-06-02,95,47,1,142,34,118,False
2024-06-03,96,88,1,184,6,156,False
2024-06-04,116,76,1,192,0,97,False
2024-06-05,138,80,1,218,0,120,False
2024-06-06,99,82,1,181,0,117,False
2024-06-07,91,73,1,164,0,119,False
2024-06-08,91,71,1,162,0,122,False
2024-06-09,96,98,1,194,0,66,False
2024-06-10,116,94,1,210,0,78,False
2024-06-11,94,75,1,169,0,91,False
2024-06-12,88,66,1,154,1,155,False
2024-06-13,114,95,1,209,0,134,False
2024-06-14,83,73,1,156,0,129,False
2024-06-15,81,88,1,169,0,115,False
2024-06-16,94,88,1,182,0,128,False
2024-06-17,94,93,1,187,0,98,False
2024-06-18,109,87,1,196,0,113,False
2024-06-19,104,64,1,168,0,138,False
2024-06-20,97,73,1,170,0,140,False
2024-06-21,89,63,1,152,0,88,False
2024-06-22,109,64,1,173,0,155,False
2024-06-23,68,100,1,168,0,124,False
2024-06-24,98,73,1,171,0,127,False
2024-06-25,99,93,1,192,0,122,False
2024-06-26,102,75,1,177,0,118,False
2024-06-27,104,59,1,163,0,93,False
2024-06-28,111,82,1,193,0,116,False
2024-06-29,100,84,1,184,0,109,False
2024-06-30,88,82,1,170,0,100,False
2024-07-01,106,59,1,165,0,140,False
2024-07-02,107,83,1,190,0,139,False
2024-07-03,124,92,1,216,0,83,False
2024-07-04,80,72,1,152,0,120,False
2024-07-05,107,71,1,178,0,123,False
2024-07-06,88,72,1,160,0,91,False
2024-07-07,86,63,1,149,0,100,False
2024-07-08,115,68,1,183,0,172,False
2024-07-09,107,82,1,189,0,102,False
2024-07-10,110,73,1,183,0,122,False
2024-07-11,138,78,1,216,0,142,False
2024-07-12,89,79,1,168,0,155,False
2024-07-13,90,101,1,191,0,134,False
2024-07-14,91,87,1,178,0,139,False
2024-07-15,109,61,1,170,0,105,False
2024-07-16,96,79,1,175,0,132,False
2024-07-17,102,63,1,165,0,127,False
2024-07-18,109,86,1,195,0,141,False
2024-07-19,112,85,1,197,0,118,False
2024-07-20,75,85,1,160,0,124,False
2024-07-21,104,64,1,168,0,98,False
2024-07-22,115,79,1,194,0,133,False
2024-07-23,100,80,1,180,0,138,False
2024-07-24,92,81,1,173,0,110,False
2024-07-25,93,76,1,169,0,124,False
2024-07-26,92,95,1,187,0,102,False
2024-07-27,97,74,1,171,0,148,False
2024-07-28,102,92,1,194,0,90,False
2024-07-29,104,90,1,194,0,121,False
2024-07-30,115,73,1,188,0,148,False
2024-07-31,134,75,1,209,0,111,False
2024-08-01,121,98,1,219,0,109,False
2024-08-02,93,76,1,169,0,93,False
