date,year,month,factory_id,factory_name,product_id,product_name,part_id,part_name,part_type,part_unit_cost,required_part_id,actual_part_used,daily_demand,initial_stock,current_stock,min_stock,dead_stock_amount,is_dead_stock,stock_turnover,capital_tied,substitute_awareness,has_substitute,substitute_used,demand_factor,is_anomaly_day,is_anomaly_month
2024-10-01,2024,10,F001,华东工厂,P001,产品A,PT001,部件A1,核心,100,PT001,PT002,3,66,66,50,0.0,False,0.045454545454545456,6600,1.0,True,PT002,1.0394633936788147,False,False
2024-10-01,2024,10,F001,华东工厂,P001,产品A,PT003,部件B1,普通,50,PT003,PT004,3,54,54,30,0.0,False,0.05555555555555555,2700,1.0,True,PT004,1.0394633936788147,False,False
2024-10-01,2024,10,F001,华东工厂,P002,产品B,PT002,部件A2,核心,95,PT002,PT001,2,79,76,50,0.0,False,0.02631578947368421,7220,1.0,True,PT001,0.8624074561769747,False,False
2024-10-01,2024,10,F001,华东工厂,P002,产品B,PT004,部件B2,普通,48,PT004,PT003,2,50,47,30,0.0,False,0.0425531914893617,2256,1.0,True,PT003,0.8624074561769747,False,False
2024-10-01,2024,10,F001,华东工厂,P003,产品C,PT001,部件A1,核心,100,PT001,PT002,3,66,64,50,0.0,False,0.046875,6400,1.0,True,PT002,0.8623978081344811,False,False
2024-10-01,2024,10,F001,华东工厂,P003,产品C,PT005,部件C1,核心,150,PT005,PT005,3,57,54,40,0.0,False,0.05555555555555555,8100,0.0,False,,0.8623978081344811,False,False
2024-10-01,2024,10,F002,华南工厂,P001,产品A,PT001,部件A1,核心,100,PT001,PT002,2,66,64,50,0.0,False,0.03125,6400,1.0,True,PT002,0.8232334448672798,False,False
2024-10-01,2024,10,F002,华南工厂,P001,产品A,PT003,部件B1,普通,50,PT003,PT004,2,54,52,30,0.0,False,0.038461538461538464,2600,1.0,True,PT004,0.8232334448672798,False,False
2024-10-01,2024,10,F002,华南工厂,P002,产品B,PT002,部件A2,核心,95,PT002,PT001,3,79,71,50,0.0,False,0.04225352112676056,6745,1.0,True,PT001,1.146470458309974,False,False
2024-10-01,2024,10,F002,华南工厂,P002,产品B,PT004,部件B2,普通,48,PT004,PT003,3,50,45,30,0.0,False,0.06666666666666667,2160,1.0,True,PT003,1.146470458309974,False,False
2024-10-01,2024,10,F002,华南工厂,P003,产品C,PT001,部件A1,核心,100,PT001,PT002,4,66,61,50,0.0,False,0.06557377049180328,6100,1.0,True,PT002,1.0404460046972834,False,False
2024-10-01,2024,10,F002,华南工厂,P003,产品C,PT005,部件C1,核心,150,PT005,PT005,4,57,50,40,0.0,False,0.08,7500,0.0,False,,1.0404460046972834,False,False
2024-10-02,2024,10,F001,华东工厂,P001,产品A,PT001,部件A1,核心,100,PT001,PT002,3,66,61,50,0.0,False,0.04918032786885246,6100,1.0,True,PT002,1.0832290311184183,False,False
2024-10-02,2024,10,F001,华东工厂,P001,产品A,PT003,部件B1,普通,50,PT003,PT004,3,54,49,30,0.0,False,0.061224489795918366,2450,1.0,True,PT004,1.0832290311184183,False,False
2024-10-02,2024,10,F001,华东工厂,P002,产品B,PT002,部件A2,核心,95,PT002,PT001,2,79,64,50,0.0,False,0.03125,6080,1.0,True,PT001,0.808233797718321,False,False
2024-10-02,2024,10,F001,华东工厂,P002,产品B,PT004,部件B2,普通,48,PT004,PT003,2,50,42,30,0.0,False,0.047619047619047616,2016,1.0,True,PT003,0.808233797718321,False,False
2024-10-02,2024,10,F001,华东工厂,P003,产品C,PT001,部件A1,核心,100,PT001,PT002,4,66,59,50,0.0,False,0.06779661016949153,5900,1.0,True,PT002,1.1879639408647977,False,False
2024-10-02,2024,10,F001,华东工厂,P003,产品C,PT005,部件C1,核心,150,PT005,PT005,4,57,46,40,0.0,False,0.08695652173913043,6900,0.0,False,,1.1879639408647977,False,False
2024-10-02,2024,10,F002,华南工厂,P001,产品A,PT001,部件A1,核心,100,PT001,PT002,3,66,59,50,0.0,False,0.05084745762711865,5900,1.0,True,PT002,1.1329770563201687,False,False
2024-10-02,2024,10,F002,华南工厂,P001,产品A,PT003,部件B1,普通,50,PT003,PT004,3,54,47,30,0.0,False,0.06382978723404255,2350,1.0,True,PT004,1.1329770563201687,False,False
2024-10-02,2024,10,F002,华南工厂,P002,产品B,PT002,部件A2,核心,95,PT002,PT001,2,79,57,50,0.0,False,0.03508771929824561,5415,1.0,True,PT001,0.8849356442713104,False,False
2024-10-02,2024,10,F002,华南工厂,P002,产品B,PT004,部件B2,普通,48,PT004,PT003,2,50,39,30,0.0,False,0.05128205128205128,1872,1.0,True,PT003,0.8849356442713104,False,False
2024-10-02,2024,10,F002,华南工厂,P003,产品C,PT001,部件A1,核心,100,PT001,PT002,3,66,57,50,0.0,False,0.05263157894736842,5700,1.0,True,PT002,0.8727299868828403,False,False
2024-10-02,2024,10,F002,华南工厂,P003,产品C,PT005,部件C1,核心,150,PT005,PT005,3,57,43,40,0.0,False,0.06976744186046512,6450,0.0,False,,0.8727299868828403,False,False
2024-10-03,2024,10,F001,华东工厂,P001,产品A,PT001,部件A1,核心,100,PT001,PT002,2,66,57,50,0.0,False,0.03508771929824561,5700,1.0,True,PT002,0.8733618039413735,False,False
2024-10-03,2024,10,F001,华东工厂,P001,产品A,PT003,部件B1,普通,50,PT003,PT004,2,54,45,30,0.0,False,0.044444444444444446,2250,1.0,True,PT004,0.8733618039413735,False,False
2024-10-03,2024,10,F001,华东工厂,P002,产品B,PT002,部件A2,核心,95,PT002,PT001,2,79,52,50,0.0,False,0.038461538461538464,4940,1.0,True,PT001,0.9216968971838151,False,False
2024-10-03,2024,10,F001,华东工厂,P002,产品B,PT004,部件B2,普通,48,PT004,PT003,2,50,37,30,0.0,False,0.05405405405405406,1776,1.0,True,PT003,0.9216968971838151,False,False
2024-10-03,2024,10,F001,华东工厂,P003,产品C,PT001,部件A1,核心,100,PT001,PT002,4,66,55,50,0.0,False,0.07272727272727272,5500,1.0,True,PT002,1.0099025726528952,False,False
2024-10-03,2024,10,F001,华东工厂,P003,产品C,PT005,部件C1,核心,150,PT005,PT005,4,57,80,40,0.0,False,0.05,12000,0.0,False,,1.0099025726528952,False,False
2024-10-03,2024,10,F002,华南工厂,P001,产品A,PT001,部件A1,核心,100,PT001,PT001,3,66,52,50,0.0,False,0.057692307692307696,5200,0.0,False,,0.9727780074568463,False,False
2024-10-03,2024,10,F002,华南工厂,P001,产品A,PT003,部件B1,普通,50,PT003,PT004,3,54,43,30,0.0,False,0.06976744186046512,2150,1.0,True,PT004,0.9727780074568463,False,False
2024-10-03,2024,10,F002,华南工厂,P002,产品B,PT002,部件A2,核心,95,PT002,PT001,2,79,100,50,0.0,False,0.02,9500,1.0,True,PT001,0.9164916560792168,False,False
2024-10-03,2024,10,F002,华南工厂,P002,产品B,PT004,部件B2,普通,48,PT004,PT003,2,50,34,30,0.0,False,0.058823529411764705,1632,1.0,True,PT003,0.9164916560792168,False,False
2024-10-03,2024,10,F002,华南工厂,P003,产品C,PT001,部件A1,核心,100,PT001,PT002,4,66,50,50,0.0,False,0.08,5000,1.0,True,PT002,1.0447411578889518,False,False
