date,month,day,product_a_sales_quantity,product_a_production_quantity,product_b_sales_quantity,product_b_production_quantity,component_a_inventory_level,component_a_inventory_turnover_rate,component_a_commonality,component_a_utilization_ratio_for_product_a,component_a_utilization_ratio_for_product_b,component_a1_inventory_level,component_a1_inventory_turnover_rate,component_a1_commonality,component_a1_utilization_ratio_for_product_b
2026-11-01,11,1,112,111,72,68,246,0.7044811865246932,2,0.8716154650617361,0.006225721519611408,203,0.5616742045421512,1,0.7507142621646687
2026-11-02,11,2,118,116,95,93,263,0.7744359437231322,2,0.8059483935699843,0.006023277325419945,156,0.6686674051942005,1,0.7730690577915009
2026-11-03,11,3,90,94,69,72,294,0.7093077319232518,2,0.779691105701675,0.009686198103367759,246,0.5152733443389081,1,0.764149293660886
2026-11-04,11,4,80,76,74,77,239,0.7732888458437248,2,0.7897796450082373,0.0002458335994886374,187,0.6542575782159654,1,0.6010368783699492
2026-11-05,11,5,94,94,96,102,279,0.7846598001940011,2,0.843845452762217,0.0022960760646558932,162,0.6446326356963086,1,0.6673012099419005
2026-11-06,11,6,101,101,74,73,258,0.6400416078500956,2,0.7286096683233197,0.0095132380106937,211,0.693892789555087,1,0.7329334979960405
2026-11-07,11,7,114,113,81,82,242,0.6998807926960673,2,0.8193319174472753,0.007002162701580764,238,0.6734119844873615,1,0.6398939308458339
2026-11-08,11,8,117,126,96,97,208,0.6631249552109644,2,0.8890855156764893,0.009742918569304012,197,0.5080937292740006,1,0.7344180972593344
2026-11-09,11,9,97,97,86,95,260,0.6818506082264765,2,0.8835991859445795,0.0010179774599123803,177,0.5503684621719023,1,0.7721738867836275
2026-11-10,11,10,107,110,88,90,265,0.7758071199619188,2,0.8999994590836462,0.0008599215655100912,247,0.5090259984064587,1,0.6907454522570137
2026-11-11,11,11,101,103,80,88,221,0.6125221149817007,2,0.8814340901628694,0.008471995904030258,197,0.6098464088336472,1,0.7113492055123062
2026-11-12,11,12,97,101,96,91,214,0.7855252119517787,2,0.8075983679186692,0.0034962361554832077,195,0.6390071853247105,1,0.6532555204856716
