date,month,day,server_2885_sales_quantity,server_2885_production_efficiency,server_5885_sales_quantity,server_5885_production_efficiency,cpu_xeon_6338_inventory_level,cpu_xeon_6338_inventory_turnover_rate,cpu_xeon_6338_commonality,cpu_xeon_6338_utilization_ratio_for_server_2885,cpu_xeon_6338_utilization_ratio_for_server_5885,cpu_xeon_8358_inventory_level,cpu_xeon_8358_inventory_turnover_rate,cpu_xeon_8358_commonality,cpu_xeon_8358_utilization_ratio_for_server_2885,cpu_xeon_8358_utilization_ratio_for_server_5885,memory_32gb_inventory_level,memory_32gb_inventory_turnover_rate,memory_32gb_commonality,memory_32gb_utilization_ratio_for_server_2885,memory_32gb_utilization_ratio_for_server_5885,memory_64gb_inventory_level,memory_64gb_inventory_turnover_rate,memory_64gb_commonality,memory_64gb_utilization_ratio_for_server_2885,memory_64gb_utilization_ratio_for_server_5885,hdd_2tb_inventory_level,hdd_2tb_inventory_turnover_rate,hdd_2tb_commonality,hdd_2tb_utilization_ratio_for_server_2885,hdd_2tb_utilization_ratio_for_server_5885,ssd_1tb_inventory_level,ssd_1tb_inventory_turnover_rate,ssd_1tb_commonality,ssd_1tb_utilization_ratio_for_server_2885,ssd_1tb_utilization_ratio_for_server_5885
2026-11-01,11,1,23,0.8723916080852288,16,0.8501696575936594,67,0.49204633011995874,2,0.6828056205426773,0.5069815923302847,34,0.6191842740790167,1,0.27979366754196633,0.6829099739977199,111,0.7258496788383972,1,0.7942636469663624,0.18724129645192522,87,0.542291057121397,1,0.21546145380276183,0.7707045206423639,91,0.5648462055212755,1,0.641105763697847,0.2781124809694038,70,0.6054306746033853,1,0.2190584874813324,0.7624421703982145
2026-11-02,11,2,22,0.9104094567106358,14,0.9431430016731525,79,0.5515803401044399,2,0.6446815032034279,0.5182590912087427,35,0.6181648618374075,1,0.15806266964194401,0.633268670665601,143,0.5268852725695168,1,0.7906416886187906,0.23045931823502327,86,0.4047772179536704,1,0.2563023884132916,0.7973912532108776,75,0.38704872527636625,1,0.6291758963132508,0.16022513769865765,56,0.7585546373175124,1,0.2870024017961945,0.6977634208143858
2026-11-03,11,3,16,0.9272528377982621,16,0.9386042110056578,65,0.5313164634309623,2,0.7132717719773786,0.6313432415042023,46,0.5604230001457291,1,0.2690646504651615,0.6269520970598886,144,0.6666484463186931,1,0.7101976052487273,0.2943226473000311,117,0.5641983444784868,1,0.1088346015122687,0.7318823064947413,67,0.46436330091762984,1,0.6993560908290398,0.19844666543305545,42,0.6389328681672399,1,0.16217085149681296,0.6183941377645042
2026-11-04,11,4,19,0.8200340924173011,17,0.8538162363718721,53,0.43617892463954683,2,0.683646453863166,0.5898418500232501,45,0.514306148073005,1,0.1799941970729783,0.6055674653006098,108,0.5528300787715279,1,0.7735535227070124,0.2598379528227258,115,0.6362617550593695,1,0.12045420380941732,0.7145151276075409,69,0.5409829917934094,1,0.7615120456633134,0.1477963689987745,54,0.8217623364309385,1,0.27099132619301103,0.6628778905186997
2026-11-05,11,5,17,0.8056407639903538,13,0.9770825270676001,68,0.4334774995558451,2,0.7489637982371613,0.572583036976323,47,0.4751466114243798,1,0.23954531784837543,0.730326351315117,106,0.5909736722663868,1,0.6321485109213155,0.22963851825822132,104,0.4393182500439817,1,0.11375457393741334,0.6248997118029355,62,0.5043515148280708,1,0.7231114981533633,0.11730482892256802,63,0.7318286898716708,1,0.10935854149795175,0.6067020249458797
2026-11-06,11,6,22,0.8220793398666639,15,0.8654231647935035,73,0.4329229725107266,2,0.7259822781615766,0.6998695637062007,54,0.6215374110897243,1,0.24283987805423093,0.6679621992791631,138,0.5196034477770916,1,0.6532680824822498,0.24374692963874853,94,0.5595902558819295,1,0.25095515836885685,0.7380914570418942,76,0.35337381844260846,1,0.7930958441145491,0.2383965051919797,63,0.7374180173442233,1,0.28494350154507514,0.7202437914027862
2026-11-07,11,7,24,0.9009997479876195,14,0.876668087399773,50,0.588494994240005,2,0.734984696106722,0.5261468806514525,45,0.44567237399535053,1,0.13528440288357915,0.7968081896468853,104,0.5537521073051943,1,0.7594776039084037,0.18298204589615236,119,0.6096389047604382,1,0.1834687846939938,0.6408352197386813,77,0.45268178013122207,1,0.6205508038274327,0.19450552962572648,78,0.7384893756420479,1,0.22348835541500212,0.7236852341380053
2026-11-08,11,8,21,0.8486330017669127,11,0.8595822007834137,78,0.4663286680046189,2,0.7094369310354551,0.6143616626876216,38,0.6051721169909864,1,0.17429929898881152,0.607756162685545,107,0.5418824080321142,1,0.677733485239408,0.15038684170917727,112,0.5253456310243267,1,0.146590432386227,0.6539714282442742,67,0.4532963320891369,1,0.7208961473402632,0.22616744837838498,57,0.8350660953444915,1,0.17920437319683993,0.7252940916129792
2026-11-09,11,9,18,0.821402974022504,10,0.8893949576226138,53,0.4437208535914594,2,0.7167210359901394,0.6047311381535553,40,0.4260849352481738,1,0.12004876681346166,0.7989937349674602,126,0.6046382792126467,1,0.6809812629357461,0.2446129236057446,91,0.4878529107358954,1,0.23138786505073786,0.6697026048666623,92,0.36085092514377964,1,0.7065318470390993,0.15002703089876937,66,0.6637449643025056,1,0.21214478404472775,0.7157625213954336
2026-11-10,11,10,20,0.8258559689714313,19,0.8689154447691984,56,0.554770701944433,2,0.6374127734175692,0.6223138534325829,32,0.6662034313283377,1,0.17384292240130675,0.6914452961558315,117,0.7183727155021994,1,0.6197679291978438,0.2780406063715916,90,0.6945264396035357,1,0.11524122971504931,0.6434679066134923,60,0.4793661584531066,1,0.6491408240376002,0.22245821527628024,62,0.6694350470655935,1,0.14002872939801006,0.7009732965746114
